Xpos1, Ypos1, Zpos1, Xpos2, Ypos2, Zpos2, Xpos3, Ypos3, Zpos3, step, time,
nan, nan, nan,1.0, 0.01, 0.0,3.003e-10, 0.0, 0.0,0, 0
nan, nan, nan,1.0, 0.10999999999999999, 0.0,1.976561894249805e-08, 6.571077098164033e-10, 0.0,10, 0.09999999999999999
nan, nan, nan,1.0, 0.21000000000000005, 0.0,6.865650400999266e-08, 4.5353096155715104e-09, 0.0,20, 0.20000000000000004
nan, nan, nan,1.0, 0.3100000000000001, 0.0,1.4564255423322517e-07, 1.4285709482863557e-08, 0.0,30, 0.3000000000000001
nan, nan, nan,1.0, 0.4100000000000002, 0.0,2.4876398343290404e-07, 3.2101703100496244e-08, 0.0,40, 0.4000000000000002
nan, nan, nan,1.0, 0.5100000000000002, 0.0,3.756579260090288e-07, 5.962333166954716e-08, 0.0,50, 0.5000000000000002
nan, nan, nan,1.0, 0.6100000000000003, 0.0,5.237829501156952e-07, 9.793045467213634e-08, 0.0,60, 0.6000000000000003
nan, nan, nan,1.0, 0.7100000000000004, 0.0,6.906041273680201e-07, 1.4760122649933365e-07, 0.0,70, 0.7000000000000004
nan, nan, nan,1.0, 0.8100000000000005, 0.0,8.737227743899753e-07, 2.088052233274076e-07, 0.0,80, 0.8000000000000005
nan, nan, nan,1.0, 0.9100000000000006, 0.0,1.0709524825762846e-06, 2.8140508870923593e-07, 0.0,90, 0.9000000000000006
nan, nan, nan,1.0, 1.0100000000000007, 0.0,1.2803523806793347e-06, 3.6504988984566057e-07, 0.0,100, 1.0000000000000007
nan, nan, nan,1.0, 1.1100000000000008, 0.0,1.5002309501541887e-06, 4.5925225134658455e-07, 0.0,110, 1.1000000000000008
nan, nan, nan,1.0, 1.2100000000000009, 0.0,1.7291321198984115e-06, 5.634475153067709e-07, 0.0,120, 1.2000000000000008
nan, nan, nan,1.0, 1.310000000000001, 0.0,1.96581235305491e-06, 6.770365575225618e-07, 0.0,130, 1.300000000000001
nan, nan, nan,1.0, 1.410000000000001, 0.0,2.2092144733366717e-06, 7.99415240563384e-07, 0.0,140, 1.400000000000001
nan, nan, nan,1.0, 1.5100000000000011, 0.0,2.4584416464423517e-06, 9.299936570449047e-07, 0.0,150, 1.500000000000001
nan, nan, nan,1.0, 1.6100000000000012, 0.0,2.712733317208983e-06, 1.0682079383818596e-06, 0.0,160, 1.6000000000000012
nan, nan, nan,1.0, 1.7100000000000013, 0.0,2.9714438821752746e-06, 1.2135268493237913e-06, 0.0,170, 1.7000000000000013
nan, nan, nan,1.0, 1.8100000000000014, 0.0,3.234024281639358e-06, 1.3654548436176963e-06, 0.0,180, 1.8000000000000014
nan, nan, nan,1.0, 1.9100000000000015, 0.0,3.5000063779655385e-06, 1.5235327958049453e-06, 0.0,190, 1.9000000000000015
nan, nan, nan,1.0, 2.010000000000001, 0.0,3.7689898395888805e-06, 1.6873372649710341e-06, 0.0,200, 2.0000000000000013
nan, nan, nan,1.0, 2.109999999999999, 0.0,4.040631200482458e-06, 1.8564788792399662e-06, 0.0,210, 2.099999999999999
nan, nan, nan,1.0, 2.209999999999997, 0.0,4.31463476737331e-06, 2.030600237577812e-06, 0.0,220, 2.199999999999997
nan, nan, nan,1.0, 2.3099999999999947, 0.0,4.590745074650929e-06, 2.20937359022608e-06, 0.0,230, 2.299999999999995
nan, nan, nan,1.0, 2.4099999999999926, 0.0,4.868740624342466e-06, 2.392498465593109e-06, 0.0,240, 2.399999999999993
nan, nan, nan,1.0, 2.5099999999999905, 0.0,5.148428687497162e-06, 2.5796993477523956e-06, 0.0,250, 2.4999999999999907
nan, nan, nan,1.0, 2.6099999999999883, 0.0,5.429640979770473e-06, 2.770723465925906e-06, 0.0,260, 2.5999999999999885
nan, nan, nan,1.0, 2.709999999999986, 0.0,5.712230056220374e-06, 2.965338729028221e-06, 0.0,270, 2.6999999999999864
nan, nan, nan,1.0, 2.809999999999984, 0.0,5.996066297882935e-06, 3.1633318199510386e-06, 0.0,280, 2.7999999999999843
nan, nan, nan,1.0, 2.909999999999982, 0.0,6.28103538577328e-06, 3.3645064525894636e-06, 0.0,290, 2.899999999999982
nan, nan, nan,1.0, 3.00999999999998, 0.0,6.56703617703348e-06, 3.5686817874472215e-06, 0.0,300, 2.99999999999998
nan, nan, nan,1.0, 3.1099999999999777, 0.0,6.853978913582223e-06, 3.7756909974948514e-06, 0.0,310, 3.099999999999978
nan, nan, nan,1.0, 3.2099999999999755, 0.0,7.14178370636621e-06, 3.985379973761979e-06, 0.0,320, 3.1999999999999758
nan, nan, nan,1.0, 3.3099999999999734, 0.0,7.430379248672797e-06, 4.1976061592231104e-06, 0.0,330, 3.2999999999999736
nan, nan, nan,1.0, 3.4099999999999713, 0.0,7.719701720371966e-06, 4.412237499415796e-06, 0.0,340, 3.3999999999999715
nan, nan, nan,1.0, 3.509999999999969, 0.0,8.00969385177942e-06, 4.629151498595913e-06, 0.0,350, 3.4999999999999694
nan, nan, nan,1.0, 3.609999999999967, 0.0,8.30030412137335e-06, 4.848234370879306e-06, 0.0,360, 3.5999999999999672
nan, nan, nan,1.0, 3.709999999999965, 0.0,8.591486066102418e-06, 5.069380276605816e-06, 0.0,370, 3.699999999999965
nan, nan, nan,1.0, 3.8099999999999627, 0.0,8.883197686691318e-06, 5.292490635003715e-06, 0.0,380, 3.799999999999963
nan, nan, nan,1.0, 3.9099999999999606, 0.0,9.175400933344712e-06, 5.517473505074816e-06, 0.0,390, 3.899999999999961
